id,order_number,short_description,long_description,formatted_icd10_code,FDN_parenticd10
T71234D,,"Asphyx d/t being trap in a (discarded) refrig, undet, subs","Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, subsequent encounter",T71.234D,T7123
T71234S,,"Asphyx d/t being trap in a (discarded) refrig, undet, sqla","Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, sequela",T71.234S,T7123
T7129,,Asphyx due to being trapped in oth low oxygen environment,Asphyxiation due to being trapped in other low oxygen environment,T71.29,T712
T7129XA,,"Asphyx due to being trap in oth low oxygen environment, init","Asphyxiation due to being trapped in other low oxygen environment, initial encounter",T71.29XA,T7129
T7129XD,,"Asphyx due to being trap in oth low oxygen environment, subs","Asphyxiation due to being trapped in other low oxygen environment, subsequent encounter",T71.29XD,T7129
T7129XS,,"Asphyx due to being trap in oth low oxygen environment, sqla","Asphyxiation due to being trapped in other low oxygen environment, sequela",T71.29XS,T7129
T719,,Asphyxiation due to unspecified cause,Asphyxiation due to unspecified cause,T71.9,T71
T719XXD,,"Asphyxiation due to unspecified cause, subsequent encounter","Asphyxiation due to unspecified cause, subsequent encounter",T71.9XXD,T719
T719XXS,,"Asphyxiation due to unspecified cause, sequela","Asphyxiation due to unspecified cause, sequela",T71.9XXS,T719
T730XXA,,"Starvation, initial encounter","Starvation, initial encounter",T73.0XXA,T730
T730XXD,,"Starvation, subsequent encounter","Starvation, subsequent encounter",T73.0XXD,T730
T731,,Deprivation of water,Deprivation of water,T73.1,T73
T731XXA,,"Deprivation of water, initial encounter","Deprivation of water, initial encounter",T73.1XXA,T731
T731XXD,,"Deprivation of water, subsequent encounter","Deprivation of water, subsequent encounter",T73.1XXD,T731
T731XXS,,"Deprivation of water, sequela","Deprivation of water, sequela",T73.1XXS,T731
T732,,Exhaustion due to exposure,Exhaustion due to exposure,T73.2,T73
T732XXA,,"Exhaustion due to exposure, initial encounter","Exhaustion due to exposure, initial encounter",T73.2XXA,T732
T732XXD,,"Exhaustion due to exposure, subsequent encounter","Exhaustion due to exposure, subsequent encounter",T73.2XXD,T732
T733XXD,,"Exhaustion due to excessive exertion, subsequent encounter","Exhaustion due to excessive exertion, subsequent encounter",T73.3XXD,T733
T733XXS,,"Exhaustion due to excessive exertion, sequela","Exhaustion due to excessive exertion, sequela",T73.3XXS,T733
T738,,Other effects of deprivation,Other effects of deprivation,T73.8,T73
T738XXA,,"Other effects of deprivation, initial encounter","Other effects of deprivation, initial encounter",T73.8XXA,T738
T739XXA,,"Effect of deprivation, unspecified, initial encounter","Effect of deprivation, unspecified, initial encounter",T73.9XXA,T739
T739XXD,,"Effect of deprivation, unspecified, subsequent encounter","Effect of deprivation, unspecified, subsequent encounter",T73.9XXD,T739
T74,,"Adult and child abuse, neglect and oth maltreat, confirmed","Adult and child abuse, neglect and other maltreatment, confirmed",T74,
T740,,"Neglect or abandonment, confirmed","Neglect or abandonment, confirmed",T74.0,T74
T7401,,"Adult neglect or abandonment, confirmed","Adult neglect or abandonment, confirmed",T74.01,T740
T7401XA,,"Adult neglect or abandonment, confirmed, initial encounter","Adult neglect or abandonment, confirmed, initial encounter",T74.01XA,T7401
T7401XD,,"Adult neglect or abandonment, confirmed, subs encntr","Adult neglect or abandonment, confirmed, subsequent encounter",T74.01XD,T7401
T7401XS,,"Adult neglect or abandonment, confirmed, sequela","Adult neglect or abandonment, confirmed, sequela",T74.01XS,T7401
T7402XA,,"Child neglect or abandonment, confirmed, initial encounter","Child neglect or abandonment, confirmed, initial encounter",T74.02XA,T7402
T7402XD,,"Child neglect or abandonment, confirmed, subs encntr","Child neglect or abandonment, confirmed, subsequent encounter",T74.02XD,T7402
T7402XS,,"Child neglect or abandonment, confirmed, sequela","Child neglect or abandonment, confirmed, sequela",T74.02XS,T7402
T741,,"Physical abuse, confirmed","Physical abuse, confirmed",T74.1,T74
T7411,,"Adult physical abuse, confirmed","Adult physical abuse, confirmed",T74.11,T741
T7411XA,,"Adult physical abuse, confirmed, initial encounter","Adult physical abuse, confirmed, initial encounter",T74.11XA,T7411
T7411XD,,"Adult physical abuse, confirmed, subsequent encounter","Adult physical abuse, confirmed, subsequent encounter",T74.11XD,T7411
T7411XS,,"Adult physical abuse, confirmed, sequela","Adult physical abuse, confirmed, sequela",T74.11XS,T7411
T7412,,"Child physical abuse, confirmed","Child physical abuse, confirmed",T74.12,T741
T7412XA,,"Child physical abuse, confirmed, initial encounter","Child physical abuse, confirmed, initial encounter",T74.12XA,T7412
T7412XD,,"Child physical abuse, confirmed, subsequent encounter","Child physical abuse, confirmed, subsequent encounter",T74.12XD,T7412
T7412XS,,"Child physical abuse, confirmed, sequela","Child physical abuse, confirmed, sequela",T74.12XS,T7412
T742,,"Sexual abuse, confirmed","Sexual abuse, confirmed",T74.2,T74
T7421,,"Adult sexual abuse, confirmed","Adult sexual abuse, confirmed",T74.21,T742
T7421XA,,"Adult sexual abuse, confirmed, initial encounter","Adult sexual abuse, confirmed, initial encounter",T74.21XA,T7421
T7421XD,,"Adult sexual abuse, confirmed, subsequent encounter","Adult sexual abuse, confirmed, subsequent encounter",T74.21XD,T7421
T7421XS,,"Adult sexual abuse, confirmed, sequela","Adult sexual abuse, confirmed, sequela",T74.21XS,T7421
T7422,,"Child sexual abuse, confirmed","Child sexual abuse, confirmed",T74.22,T742
T7422XA,,"Child sexual abuse, confirmed, initial encounter","Child sexual abuse, confirmed, initial encounter",T74.22XA,T7422
T7422XD,,"Child sexual abuse, confirmed, subsequent encounter","Child sexual abuse, confirmed, subsequent encounter",T74.22XD,T7422
T7422XS,,"Child sexual abuse, confirmed, sequela","Child sexual abuse, confirmed, sequela",T74.22XS,T7422
T743,,"Psychological abuse, confirmed","Psychological abuse, confirmed",T74.3,T74
T7431,,"Adult psychological abuse, confirmed","Adult psychological abuse, confirmed",T74.31,T743
T7431XA,,"Adult psychological abuse, confirmed, initial encounter","Adult psychological abuse, confirmed, initial encounter",T74.31XA,T7431
T7431XD,,"Adult psychological abuse, confirmed, subsequent encounter","Adult psychological abuse, confirmed, subsequent encounter",T74.31XD,T7431
T7431XS,,"Adult psychological abuse, confirmed, sequela","Adult psychological abuse, confirmed, sequela",T74.31XS,T7431
T7432,,"Child psychological abuse, confirmed","Child psychological abuse, confirmed",T74.32,T743
T7432XA,,"Child psychological abuse, confirmed, initial encounter","Child psychological abuse, confirmed, initial encounter",T74.32XA,T7432
T7432XD,,"Child psychological abuse, confirmed, subsequent encounter","Child psychological abuse, confirmed, subsequent encounter",T74.32XD,T7432
T7432XS,,"Child psychological abuse, confirmed, sequela","Child psychological abuse, confirmed, sequela",T74.32XS,T7432
T744,,Shaken infant syndrome,Shaken infant syndrome,T74.4,T74
T7491XA,,"Unspecified adult maltreatment, confirmed, initial encounter","Unspecified adult maltreatment, confirmed, initial encounter",T74.91XA,T7491
T7491XD,,"Unspecified adult maltreatment, confirmed, subs encntr","Unspecified adult maltreatment, confirmed, subsequent encounter",T74.91XD,T7491
T7491XS,,"Unspecified adult maltreatment, confirmed, sequela","Unspecified adult maltreatment, confirmed, sequela",T74.91XS,T7491
T7492XA,,"Unspecified child maltreatment, confirmed, initial encounter","Unspecified child maltreatment, confirmed, initial encounter",T74.92XA,T7492
T7492XD,,"Unspecified child maltreatment, confirmed, subs encntr","Unspecified child maltreatment, confirmed, subsequent encounter",T74.92XD,T7492
T7492XS,,"Unspecified child maltreatment, confirmed, sequela","Unspecified child maltreatment, confirmed, sequela",T74.92XS,T7492
T75,,Other and unspecified effects of other external causes,Other and unspecified effects of other external causes,T75,
T750,,Effects of lightning,Effects of lightning,T75.0,T75
T7500,,Unspecified effects of lightning,Unspecified effects of lightning,T75.00,T750
T7500XA,,"Unspecified effects of lightning, initial encounter","Unspecified effects of lightning, initial encounter",T75.00XA,T7500
T7500XD,,"Unspecified effects of lightning, subsequent encounter","Unspecified effects of lightning, subsequent encounter",T75.00XD,T7500
T7500XS,,"Unspecified effects of lightning, sequela","Unspecified effects of lightning, sequela",T75.00XS,T7500
T7501,,Shock due to being struck by lightning,Shock due to being struck by lightning,T75.01,T750
T7501XA,,"Shock due to being struck by lightning, initial encounter","Shock due to being struck by lightning, initial encounter",T75.01XA,T7501
T7501XD,,"Shock due to being struck by lightning, subsequent encounter","Shock due to being struck by lightning, subsequent encounter",T75.01XD,T7501
S935,,Sprain of toe,Sprain of toe,S93.5,S93
T7501XS,,"Shock due to being struck by lightning, sequela","Shock due to being struck by lightning, sequela",T75.01XS,T7501
T7509,,Other effects of lightning,Other effects of lightning,T75.09,T750
T7509XA,,"Other effects of lightning, initial encounter","Other effects of lightning, initial encounter",T75.09XA,T7509
T7509XD,,"Other effects of lightning, subsequent encounter","Other effects of lightning, subsequent encounter",T75.09XD,T7509
T7509XS,,"Other effects of lightning, sequela","Other effects of lightning, sequela",T75.09XS,T7509
T751,,Unspecified effects of drowning and nonfatal submersion,Unspecified effects of drowning and nonfatal submersion,T75.1,T75
T751XXA,,"Unsp effects of drowning and nonfatal submersion, init","Unspecified effects of drowning and nonfatal submersion, initial encounter",T75.1XXA,T751
T751XXD,,"Unsp effects of drowning and nonfatal submersion, subs","Unspecified effects of drowning and nonfatal submersion, subsequent encounter",T75.1XXD,T751
T751XXS,,"Unsp effects of drowning and nonfatal submersion, sequela","Unspecified effects of drowning and nonfatal submersion, sequela",T75.1XXS,T751
T752,,Effects of vibration,Effects of vibration,T75.2,T75
T7520,,Unspecified effects of vibration,Unspecified effects of vibration,T75.20,T752
T7520XA,,"Unspecified effects of vibration, initial encounter","Unspecified effects of vibration, initial encounter",T75.20XA,T7520
T7520XD,,"Unspecified effects of vibration, subsequent encounter","Unspecified effects of vibration, subsequent encounter",T75.20XD,T7520
T7520XS,,"Unspecified effects of vibration, sequela","Unspecified effects of vibration, sequela",T75.20XS,T7520
T7521,,Pneumatic hammer syndrome,Pneumatic hammer syndrome,T75.21,T752
T7521XA,,"Pneumatic hammer syndrome, initial encounter","Pneumatic hammer syndrome, initial encounter",T75.21XA,T7521
T7521XD,,"Pneumatic hammer syndrome, subsequent encounter","Pneumatic hammer syndrome, subsequent encounter",T75.21XD,T7521
T7521XS,,"Pneumatic hammer syndrome, sequela","Pneumatic hammer syndrome, sequela",T75.21XS,T7521
T7522,,Traumatic vasospastic syndrome,Traumatic vasospastic syndrome,T75.22,T752
T7522XA,,"Traumatic vasospastic syndrome, initial encounter","Traumatic vasospastic syndrome, initial encounter",T75.22XA,T7522
T7522XD,,"Traumatic vasospastic syndrome, subsequent encounter","Traumatic vasospastic syndrome, subsequent encounter",T75.22XD,T7522
T7522XS,,"Traumatic vasospastic syndrome, sequela","Traumatic vasospastic syndrome, sequela",T75.22XS,T7522
T7523,,Vertigo from infrasound,Vertigo from infrasound,T75.23,T752
T7523XD,,"Vertigo from infrasound, subsequent encounter","Vertigo from infrasound, subsequent encounter",T75.23XD,T7523
T7523XS,,"Vertigo from infrasound, sequela","Vertigo from infrasound, sequela",T75.23XS,T7523
T7529,,Other effects of vibration,Other effects of vibration,T75.29,T752
T7529XA,,"Other effects of vibration, initial encounter","Other effects of vibration, initial encounter",T75.29XA,T7529
T7529XD,,"Other effects of vibration, subsequent encounter","Other effects of vibration, subsequent encounter",T75.29XD,T7529
T7529XS,,"Other effects of vibration, sequela","Other effects of vibration, sequela",T75.29XS,T7529
T753XXA,,"Motion sickness, initial encounter","Motion sickness, initial encounter",T75.3XXA,T753
T7581XA,,"Effects of abnormal gravitation forces, initial encounter","Effects of abnormal gravitation [G] forces, initial encounter",T75.81XA,T7581
T7581XD,,"Effects of abnormal gravitation forces, subsequent encounter","Effects of abnormal gravitation [G] forces, subsequent encounter",T75.81XD,T7581
T7581XS,,"Effects of abnormal gravitation [G] forces, sequela","Effects of abnormal gravitation [G] forces, sequela",T75.81XS,T7581
T7582,,Effects of weightlessness,Effects of weightlessness,T75.82,T758
T7582XA,,"Effects of weightlessness, initial encounter","Effects of weightlessness, initial encounter",T75.82XA,T7582
T7582XD,,"Effects of weightlessness, subsequent encounter","Effects of weightlessness, subsequent encounter",T75.82XD,T7582
T7582XS,,"Effects of weightlessness, sequela","Effects of weightlessness, sequela",T75.82XS,T7582
T7589,,Other specified effects of external causes,Other specified effects of external causes,T75.89,T758
T7589XA,,"Other specified effects of external causes, init encntr","Other specified effects of external causes, initial encounter",T75.89XA,T7589
T7589XD,,"Other specified effects of external causes, subs encntr","Other specified effects of external causes, subsequent encounter",T75.89XD,T7589
T7589XS,,"Other specified effects of external causes, sequela","Other specified effects of external causes, sequela",T75.89XS,T7589
T76,,"Adult and child abuse, neglect and oth maltreat, suspected","Adult and child abuse, neglect and other maltreatment, suspected",T76,
T760,,"Neglect or abandonment, suspected","Neglect or abandonment, suspected",T76.0,T76
T7601,,"Adult neglect or abandonment, suspected","Adult neglect or abandonment, suspected",T76.01,T760
T7601XA,,"Adult neglect or abandonment, suspected, initial encounter","Adult neglect or abandonment, suspected, initial encounter",T76.01XA,T7601
T7601XD,,"Adult neglect or abandonment, suspected, subs encntr","Adult neglect or abandonment, suspected, subsequent encounter",T76.01XD,T7601
T7601XS,,"Adult neglect or abandonment, suspected, sequela","Adult neglect or abandonment, suspected, sequela",T76.01XS,T7601
T7602,,"Child neglect or abandonment, suspected","Child neglect or abandonment, suspected",T76.02,T760
T7602XA,,"Child neglect or abandonment, suspected, initial encounter","Child neglect or abandonment, suspected, initial encounter",T76.02XA,T7602
T7602XD,,"Child neglect or abandonment, suspected, subs encntr","Child neglect or abandonment, suspected, subsequent encounter",T76.02XD,T7602
T7602XS,,"Child neglect or abandonment, suspected, sequela","Child neglect or abandonment, suspected, sequela",T76.02XS,T7602
T761,,"Physical abuse, suspected","Physical abuse, suspected",T76.1,T76
T7611,,"Adult physical abuse, suspected","Adult physical abuse, suspected",T76.11,T761
T7611XA,,"Adult physical abuse, suspected, initial encounter","Adult physical abuse, suspected, initial encounter",T76.11XA,T7611
T7611XD,,"Adult physical abuse, suspected, subsequent encounter","Adult physical abuse, suspected, subsequent encounter",T76.11XD,T7611
T7611XS,,"Adult physical abuse, suspected, sequela","Adult physical abuse, suspected, sequela",T76.11XS,T7611
T7612,,"Child physical abuse, suspected","Child physical abuse, suspected",T76.12,T761
T7612XA,,"Child physical abuse, suspected, initial encounter","Child physical abuse, suspected, initial encounter",T76.12XA,T7612
T7612XD,,"Child physical abuse, suspected, subsequent encounter","Child physical abuse, suspected, subsequent encounter",T76.12XD,T7612
T7612XS,,"Child physical abuse, suspected, sequela","Child physical abuse, suspected, sequela",T76.12XS,T7612
T7621XA,,"Adult sexual abuse, suspected, initial encounter","Adult sexual abuse, suspected, initial encounter",T76.21XA,T7621
T7621XD,,"Adult sexual abuse, suspected, subsequent encounter","Adult sexual abuse, suspected, subsequent encounter",T76.21XD,T7621
T7621XS,,"Adult sexual abuse, suspected, sequela","Adult sexual abuse, suspected, sequela",T76.21XS,T7621
T7622,,"Child sexual abuse, suspected","Child sexual abuse, suspected",T76.22,T762
T7622XA,,"Child sexual abuse, suspected, initial encounter","Child sexual abuse, suspected, initial encounter",T76.22XA,T7622
T7622XD,,"Child sexual abuse, suspected, subsequent encounter","Child sexual abuse, suspected, subsequent encounter",T76.22XD,T7622
T7622XS,,"Child sexual abuse, suspected, sequela","Child sexual abuse, suspected, sequela",T76.22XS,T7622
T763,,"Psychological abuse, suspected","Psychological abuse, suspected",T76.3,T76
T7631,,"Adult psychological abuse, suspected","Adult psychological abuse, suspected",T76.31,T763
W260XXA,,"Contact with knife, initial encounter","Contact with knife, initial encounter",W26.0XXA,W260
T7631XA,,"Adult psychological abuse, suspected, initial encounter","Adult psychological abuse, suspected, initial encounter",T76.31XA,T7631
T7631XD,,"Adult psychological abuse, suspected, subsequent encounter","Adult psychological abuse, suspected, subsequent encounter",T76.31XD,T7631
T7631XS,,"Adult psychological abuse, suspected, sequela","Adult psychological abuse, suspected, sequela",T76.31XS,T7631
T7632,,"Child psychological abuse, suspected","Child psychological abuse, suspected",T76.32,T763
T7632XA,,"Child psychological abuse, suspected, initial encounter","Child psychological abuse, suspected, initial encounter",T76.32XA,T7632
T7632XD,,"Child psychological abuse, suspected, subsequent encounter","Child psychological abuse, suspected, subsequent encounter",T76.32XD,T7632
T7632XS,,"Child psychological abuse, suspected, sequela","Child psychological abuse, suspected, sequela",T76.32XS,T7632
T7691XA,,"Unspecified adult maltreatment, suspected, initial encounter","Unspecified adult maltreatment, suspected, initial encounter",T76.91XA,T7691
T7691XD,,"Unspecified adult maltreatment, suspected, subs encntr","Unspecified adult maltreatment, suspected, subsequent encounter",T76.91XD,T7691
T7691XS,,"Unspecified adult maltreatment, suspected, sequela","Unspecified adult maltreatment, suspected, sequela",T76.91XS,T7691
T7692,,"Unspecified child maltreatment, suspected","Unspecified child maltreatment, suspected",T76.92,T769
T7692XA,,"Unspecified child maltreatment, suspected, initial encounter","Unspecified child maltreatment, suspected, initial encounter",T76.92XA,T7692
T7692XD,,"Unspecified child maltreatment, suspected, subs encntr","Unspecified child maltreatment, suspected, subsequent encounter",T76.92XD,T7692
T7692XS,,"Unspecified child maltreatment, suspected, sequela","Unspecified child maltreatment, suspected, sequela",T76.92XS,T7692
T78,,"Adverse effects, not elsewhere classified","Adverse effects, not elsewhere classified",T78,
T7800,,Anaphylactic reaction due to unspecified food,Anaphylactic reaction due to unspecified food,T78.00,T780
T7800XA,,"Anaphylactic reaction due to unspecified food, init encntr","Anaphylactic reaction due to unspecified food, initial encounter",T78.00XA,T7800
T7800XD,,"Anaphylactic reaction due to unspecified food, subs encntr","Anaphylactic reaction due to unspecified food, subsequent encounter",T78.00XD,T7800
T7800XS,,"Anaphylactic reaction due to unspecified food, sequela","Anaphylactic reaction due to unspecified food, sequela",T78.00XS,T7800
T7801,,Anaphylactic reaction due to peanuts,Anaphylactic reaction due to peanuts,T78.01,T780
T7801XA,,"Anaphylactic reaction due to peanuts, initial encounter","Anaphylactic reaction due to peanuts, initial encounter",T78.01XA,T7801
T7801XD,,"Anaphylactic reaction due to peanuts, subsequent encounter","Anaphylactic reaction due to peanuts, subsequent encounter",T78.01XD,T7801
T7801XS,,"Anaphylactic reaction due to peanuts, sequela","Anaphylactic reaction due to peanuts, sequela",T78.01XS,T7801
T7802,,Anaphylactic reaction due to shellfish (crustaceans),Anaphylactic reaction due to shellfish (crustaceans),T78.02,T780
T7802XA,,"Anaphylactic reaction due to shellfish (crustaceans), init","Anaphylactic reaction due to shellfish (crustaceans), initial encounter",T78.02XA,T7802
T7802XD,,"Anaphylactic reaction due to shellfish (crustaceans), subs","Anaphylactic reaction due to shellfish (crustaceans), subsequent encounter",T78.02XD,T7802
T7802XS,,"Anaphyl reaction due to shellfish (crustaceans), sequela","Anaphylactic reaction due to shellfish (crustaceans), sequela",T78.02XS,T7802
T7803,,Anaphylactic reaction due to other fish,Anaphylactic reaction due to other fish,T78.03,T780
T7803XA,,"Anaphylactic reaction due to other fish, initial encounter","Anaphylactic reaction due to other fish, initial encounter",T78.03XA,T7803
T7803XD,,"Anaphylactic reaction due to other fish, subs encntr","Anaphylactic reaction due to other fish, subsequent encounter",T78.03XD,T7803
T7803XS,,"Anaphylactic reaction due to other fish, sequela","Anaphylactic reaction due to other fish, sequela",T78.03XS,T7803
T7804,,Anaphylactic reaction due to fruits and vegetables,Anaphylactic reaction due to fruits and vegetables,T78.04,T780
T7804XA,,"Anaphylactic reaction due to fruits and vegetables, init","Anaphylactic reaction due to fruits and vegetables, initial encounter",T78.04XA,T7804
T8110,,Postprocedural shock unspecified,Postprocedural shock unspecified,T81.10,T811
T7804XD,,"Anaphylactic reaction due to fruits and vegetables, subs","Anaphylactic reaction due to fruits and vegetables, subsequent encounter",T78.04XD,T7804
T7804XS,,"Anaphylactic reaction due to fruits and vegetables, sequela","Anaphylactic reaction due to fruits and vegetables, sequela",T78.04XS,T7804
T7805,,Anaphylactic reaction due to tree nuts and seeds,Anaphylactic reaction due to tree nuts and seeds,T78.05,T780
T7805XA,,"Anaphylactic reaction due to tree nuts and seeds, init","Anaphylactic reaction due to tree nuts and seeds, initial encounter",T78.05XA,T7805
T7805XD,,"Anaphylactic reaction due to tree nuts and seeds, subs","Anaphylactic reaction due to tree nuts and seeds, subsequent encounter",T78.05XD,T7805
T7805XS,,"Anaphylactic reaction due to tree nuts and seeds, sequela","Anaphylactic reaction due to tree nuts and seeds, sequela",T78.05XS,T7805
T7806,,Anaphylactic reaction due to food additives,Anaphylactic reaction due to food additives,T78.06,T780
T7806XA,,"Anaphylactic reaction due to food additives, init encntr","Anaphylactic reaction due to food additives, initial encounter",T78.06XA,T7806
T7806XD,,"Anaphylactic reaction due to food additives, subs encntr","Anaphylactic reaction due to food additives, subsequent encounter",T78.06XD,T7806
T7806XS,,"Anaphylactic reaction due to food additives, sequela","Anaphylactic reaction due to food additives, sequela",T78.06XS,T7806
T7807,,Anaphylactic reaction due to milk and dairy products,Anaphylactic reaction due to milk and dairy products,T78.07,T780
T7807XA,,"Anaphylactic reaction due to milk and dairy products, init","Anaphylactic reaction due to milk and dairy products, initial encounter",T78.07XA,T7807
T7807XD,,"Anaphylactic reaction due to milk and dairy products, subs","Anaphylactic reaction due to milk and dairy products, subsequent encounter",T78.07XD,T7807
T7807XS,,"Anaphyl reaction due to milk and dairy products, sequela","Anaphylactic reaction due to milk and dairy products, sequela",T78.07XS,T7807
T7808,,Anaphylactic reaction due to eggs,Anaphylactic reaction due to eggs,T78.08,T780
T7808XA,,"Anaphylactic reaction due to eggs, initial encounter","Anaphylactic reaction due to eggs, initial encounter",T78.08XA,T7808
T7808XD,,"Anaphylactic reaction due to eggs, subsequent encounter","Anaphylactic reaction due to eggs, subsequent encounter",T78.08XD,T7808
T7809,,Anaphylactic reaction due to other food products,Anaphylactic reaction due to other food products,T78.09,T780
T7809XA,,"Anaphylactic reaction due to oth food products, init encntr","Anaphylactic reaction due to other food products, initial encounter",T78.09XA,T7809
T7809XD,,"Anaphylactic reaction due to oth food products, subs encntr","Anaphylactic reaction due to other food products, subsequent encounter",T78.09XD,T7809
T7809XS,,"Anaphylactic reaction due to other food products, sequela","Anaphylactic reaction due to other food products, sequela",T78.09XS,T7809
T781,,"Other adverse food reactions, not elsewhere classified","Other adverse food reactions, not elsewhere classified",T78.1,T78
T781XXA,,"Oth adverse food reactions, not elsewhere classified, init","Other adverse food reactions, not elsewhere classified, initial encounter",T78.1XXA,T781
T781XXD,,"Oth adverse food reactions, not elsewhere classified, subs","Other adverse food reactions, not elsewhere classified, subsequent encounter",T78.1XXD,T781
T781XXS,,"Oth adverse food reactions, NEC, sequela","Other adverse food reactions, not elsewhere classified, sequela",T78.1XXS,T781
T782,,"Anaphylactic shock, unspecified","Anaphylactic shock, unspecified",T78.2,T78
T782XXA,,"Anaphylactic shock, unspecified, initial encounter","Anaphylactic shock, unspecified, initial encounter",T78.2XXA,T782
T782XXD,,"Anaphylactic shock, unspecified, subsequent encounter","Anaphylactic shock, unspecified, subsequent encounter",T78.2XXD,T782
T782XXS,,"Anaphylactic shock, unspecified, sequela","Anaphylactic shock, unspecified, sequela",T78.2XXS,T782
T783,,Angioneurotic edema,Angioneurotic edema,T78.3,T78
T783XXA,,"Angioneurotic edema, initial encounter","Angioneurotic edema, initial encounter",T78.3XXA,T783
T783XXD,,"Angioneurotic edema, subsequent encounter","Angioneurotic edema, subsequent encounter",T78.3XXD,T783
T788XXA,,"Other adverse effects, not elsewhere classified, init encntr","Other adverse effects, not elsewhere classified, initial encounter",T78.8XXA,T788
T788XXD,,"Other adverse effects, not elsewhere classified, subs encntr","Other adverse effects, not elsewhere classified, subsequent encounter",T78.8XXD,T788
T788XXS,,"Other adverse effects, not elsewhere classified, sequela","Other adverse effects, not elsewhere classified, sequela",T78.8XXS,T788
T79,,"Certain early complications of trauma, NEC","Certain early complications of trauma, not elsewhere classified",T79,
T790,,Air embolism (traumatic),Air embolism (traumatic),T79.0,T79
T790XXD,,"Air embolism (traumatic), subsequent encounter","Air embolism (traumatic), subsequent encounter",T79.0XXD,T790
T790XXS,,"Air embolism (traumatic), sequela","Air embolism (traumatic), sequela",T79.0XXS,T790
T791,,Fat embolism (traumatic),Fat embolism (traumatic),T79.1,T79
T791XXA,,"Fat embolism (traumatic), initial encounter","Fat embolism (traumatic), initial encounter",T79.1XXA,T791
T791XXD,,"Fat embolism (traumatic), subsequent encounter","Fat embolism (traumatic), subsequent encounter",T79.1XXD,T791
T791XXS,,"Fat embolism (traumatic), sequela","Fat embolism (traumatic), sequela",T79.1XXS,T791
T792,,Traumatic secondary and recurrent hemorrhage and seroma,Traumatic secondary and recurrent hemorrhage and seroma,T79.2,T79
T792XXA,,"Traumatic secondary and recurrent hemor and seroma, init","Traumatic secondary and recurrent hemorrhage and seroma, initial encounter",T79.2XXA,T792
T792XXD,,"Traumatic secondary and recurrent hemor and seroma, subs","Traumatic secondary and recurrent hemorrhage and seroma, subsequent encounter",T79.2XXD,T792
T792XXS,,"Traumatic secondary and recurrent hemor and seroma, sequela","Traumatic secondary and recurrent hemorrhage and seroma, sequela",T79.2XXS,T792
T794,,Traumatic shock,Traumatic shock,T79.4,T79
T794XXA,,"Traumatic shock, initial encounter","Traumatic shock, initial encounter",T79.4XXA,T794
T794XXD,,"Traumatic shock, subsequent encounter","Traumatic shock, subsequent encounter",T79.4XXD,T794
T794XXS,,"Traumatic shock, sequela","Traumatic shock, sequela",T79.4XXS,T794
T795,,Traumatic anuria,Traumatic anuria,T79.5,T79
T795XXA,,"Traumatic anuria, initial encounter","Traumatic anuria, initial encounter",T79.5XXA,T795
T795XXD,,"Traumatic anuria, subsequent encounter","Traumatic anuria, subsequent encounter",T79.5XXD,T795
T795XXS,,"Traumatic anuria, sequela","Traumatic anuria, sequela",T79.5XXS,T795
T796,,Traumatic ischemia of muscle,Traumatic ischemia of muscle,T79.6,T79
T796XXA,,"Traumatic ischemia of muscle, initial encounter","Traumatic ischemia of muscle, initial encounter",T79.6XXA,T796
T796XXD,,"Traumatic ischemia of muscle, subsequent encounter","Traumatic ischemia of muscle, subsequent encounter",T79.6XXD,T796
T796XXS,,"Traumatic ischemia of muscle, sequela","Traumatic ischemia of muscle, sequela",T79.6XXS,T796
T797,,Traumatic subcutaneous emphysema,Traumatic subcutaneous emphysema,T79.7,T79
T797XXA,,"Traumatic subcutaneous emphysema, initial encounter","Traumatic subcutaneous emphysema, initial encounter",T79.7XXA,T797
T797XXD,,"Traumatic subcutaneous emphysema, subsequent encounter","Traumatic subcutaneous emphysema, subsequent encounter",T79.7XXD,T797
T798XXA,,"Other early complications of trauma, initial encounter","Other early complications of trauma, initial encounter",T79.8XXA,T798
T798XXD,,"Other early complications of trauma, subsequent encounter","Other early complications of trauma, subsequent encounter",T79.8XXD,T798
T799XXA,,"Unspecified early complication of trauma, initial encounter","Unspecified early complication of trauma, initial encounter",T79.9XXA,T799
T799XXD,,"Unspecified early complication of trauma, subs encntr","Unspecified early complication of trauma, subsequent encounter",T79.9XXD,T799
T799XXS,,"Unspecified early complication of trauma, sequela","Unspecified early complication of trauma, sequela",T79.9XXS,T799
T79A,,Traumatic compartment syndrome,Traumatic compartment syndrome,T79.A,T79
T79A0,,"Compartment syndrome, unspecified","Compartment syndrome, unspecified",T79.A0,T79A
T79A0XA,,"Compartment syndrome, unspecified, initial encounter","Compartment syndrome, unspecified, initial encounter",T79.A0XA,T79A0
T79A0XD,,"Compartment syndrome, unspecified, subsequent encounter","Compartment syndrome, unspecified, subsequent encounter",T79.A0XD,T79A0
T79A0XS,,"Compartment syndrome, unspecified, sequela","Compartment syndrome, unspecified, sequela",T79.A0XS,T79A0
T79A1,,Traumatic compartment syndrome of upper extremity,Traumatic compartment syndrome of upper extremity,T79.A1,T79A
